net/minecraft/class_2960	net/minecraft/resources/Identifier
net/minecraft/class_1309	net/minecraft/world/entity/LivingEntity
net/minecraft/class_1429	net/minecraft/world/entity/animal/Animal
net/minecraft/class_1571	net/minecraft/world/entity/monster/Ghast
net/minecraft/class_1593	net/minecraft/world/entity/monster/Phantom
net/minecraft/class_1569	net/minecraft/world/entity/monster/Enemy
net/minecraft/class_1677	net/minecraft/world/entity/projectile/hurtingprojectile/SmallFireball
net/minecraft/class_1667	net/minecraft/world/entity/projectile/arrow/Arrow
net/minecraft/class_1679	net/minecraft/world/entity/projectile/arrow/SpectralArrow
net/minecraft/class_1680	net/minecraft/world/entity/projectile/throwableitemprojectile/Snowball
net/minecraft/class_1621	net/minecraft/world/entity/monster/cubemob/Slime
net/minecraft/class_1480	net/minecraft/world/entity/animal/AgeableWaterCreature
net/minecraft/class_1314	net/minecraft/world/entity/PathfinderMob
net/minecraft/class_1646	net/minecraft/world/entity/npc/villager/Villager
net/minecraft/class_1676	net/minecraft/world/entity/projectile/Projectile
net/minecraft/class_1682	net/minecraft/world/entity/projectile/ThrowableProjectile
net/minecraft/class_3857	net/minecraft/world/entity/projectile/throwableitemprojectile/ThrowableItemProjectile
net/minecraft/class_1657	net/minecraft/world/entity/player/Player
net/minecraft/class_1297	net/minecraft/world/entity/Entity
net/minecraft/class_1299	net/minecraft/world/entity/EntityType
net/minecraft/class_1542	net/minecraft/world/entity/item/ItemEntity
net/minecraft/class_1308	net/minecraft/world/entity/Mob
net/minecraft/class_1303	net/minecraft/world/entity/ExperienceOrb
net/minecraft/class_2248	net/minecraft/world/level/block/Block
net/minecraft/class_2246	net/minecraft/world/level/block/Blocks
net/minecraft/class_2350	net/minecraft/core/Direction
net/minecraft/class_1799	net/minecraft/world/item/ItemStack
net/minecraft/class_4970	net/minecraft/world/level/block/state/BlockBehaviour
net/minecraft/class_4970$class_2251	net/minecraft/world/level/block/state/BlockBehaviour$Properties
net/minecraft/class_243	net/minecraft/world/phys/Vec3
net/minecraft/class_3218	net/minecraft/server/level/ServerLevel
net/minecraft/class_1937	net/minecraft/world/level/Level
net/minecraft/class_2586	net/minecraft/world/level/block/entity/BlockEntity
net/minecraft/class_2591	net/minecraft/world/level/block/entity/BlockEntityType
net/minecraft/class_1703	net/minecraft/world/inventory/AbstractContainerMenu
net/minecraft/class_2338	net/minecraft/core/BlockPos
net/minecraft/class_2382	net/minecraft/core/Vec3i
net/minecraft/class_2397	net/minecraft/world/level/block/LeavesBlock
net/minecraft/class_2680	net/minecraft/world/level/block/state/BlockState
